"code","Description","Related field","Related subject (faculty directory)","Field Page URL"
"literature","<p>Literature is one of the pillars of a liberal education. By reading the imaginative prose and verse of authors from across the globe and through the centuries, we encounter humanity at its kindest and cruelest, in its hopes and fears, suffering and sublimity. You can study literature in combination with the arts, sciences, and social sciences, as well as in humanities-intensive programs and courses. Cultural studies and study-abroad opportunities typically feature a substantial literature component.</p>","","Literature, Language, and Communication",""
"marine science","","environmental studies","Environmental Studies/Agriculture",""
"maritime studies","","cultural studies","Cultural Studies",""
"mathematics","<p>Mathematics is much more than working with numbers and solving equations. It underlies many daily decisions, is crucial to thinking critically about what we read and hear in the media, is the language of science and technology, and lies behind the games we play and the work we do. Mathematical and quantitative thinking is incorporated across the curriculum. You’ll find it woven into programs and courses involving science, sociology, psychology, economics, linguistics, and the arts. We also offer opportunities to study mathematics as a discipline in its own right: both pure and applied and from beginning to advanced.</p>","","",""
"media arts","","visual and media arts","Media and Film",""
"media studies","","visual and media arts","Media and Film",""
"moving image","","visual and media arts","Media and Film",""
"music","","performing arts","Performing Arts",""
"Native American and indigenous studies","<p>Founded upon visionary leadership and long-term relationships between Pacific Northwest Tribes and the college, programs and courses in Native American studies embrace Indigenous knowledge as a field of multidisciplinary study. Faculty develop culturally relevant curriculum that strengthens Evergreen's connection to Indigenous people in the United States, Canada, Aotearoa, and the Pacific Rim. As you learn about Native American studies, you will combine theory and practice so you have opportunities to get experience in the field.</p>","","Ethnic Studies","http://www.evergreen.edu/studies/native-studies"
"natural history","","environmental studies","Environmental Studies/Agriculture",""
"outdoor leadership and education","","education","Social Sciences",""
"performing arts","<p>Compose and produce original music and dance works. Explore the work of established playwrights, composers, and choreographers. Perform in music, theater, and dance productions. Design sets, costumes, lighting, and sound for shows you present to audiences on campus and off.</p>","","Performing Arts","http://www.evergreen.edu/studies/performing-arts"
"philosophy","<p>Philosophy can be studied in many programs and courses, allowing you to rigorously investigate claims about the grounds of existence, the possibilities for knowledge, the nature of justice, and the existence of God—to name a few. Faculty members have expertise in the theory of knowledge, ethics, aesthetics, the philosophy of science, linguistics, and the philosophy of religion. Both Eastern and Western ways of knowing are represented in our curriculum.</p>","","Philosophy",""
"philosophy of science","","philosophy","Philosophy",""
"physics","<p>Our approach to physics and astronomy is experiential and hands-on. You work in small groups in labs and workshops to understand the laws and physical models describing interactions involving matter and energy. Physics is taught at all levels and with many other disciplines, including animation, music, sports, sustainability studies, and philosophy. If you’re embarking on an academic pathway in the sciences, you can obtain a foundation in university-level physics that also include calculus and chemistry or computer science. At the advanced level, you can learn physics and astronomy in integrated programs that include applied mathematics and advanced physical chemistry.</p>","","Mathematics and Physics",""
"physiology","","biology and life sciences","Biological Sciences",""
"political economy","<p>While studying political economy, you will learn the ways in which the U.S. and global economies have been organized and reorganized, how systems of economic and political power operate, and how they are changed. You can study the history of empires in structuring the global economy; examine food systems and agriculture; and mass media’s role in social relationships. You’ll learn how social change has occurred in the past so you can be a more effective agent of change. Finally, you can explore alternative visions for economies and societies that promote justice and environmental sustainability. </p>","political economy and political science","Politics and Government",""
"political economy and political science","<p>Examine the causes of social inequality. Explore the connections between politics, economics and popular culture. Seek alternatives and study the history of movements for change.</p><p>Political Economy is a social science that asks, “Who has what?” “Who does what kinds of work?” and “How did it get to be that way?”</p><p>At Evergreen, classes in Political Economy study the ways that the US and global economies have been organized and reorganized. Students ask how systems of economic and political power operate and how they are changed. Perhaps you want to understand the relationship between democracy and capitalism. Maybe you want to understand how social movements have challenged domination based on race, social class and gender. If so, you’ll find this approach rewarding.</p><p>At Evergreen, you can study the history of empires, past and present, in structuring the global economy. You’ll examine food systems and agriculture in the U.S. and internationally. You’ll look at the role that mass media plays in our social relationships. You’ll learn how social change has occurred in the past so you can be a more effective agent of change. Finally, you can explore alternative visions for economies and societies that promote justice and environmental sustainability.</p>","","Politics and Government","http://evergreen.edu/studies/political-economy-science"
"political science","","political economy and political science","Politics and Government",""
"psychology","<p>Delve into the intricacies of the human mind. Find out what makes people tick. Learn how to help people dealing with stress and addiction. Prepare for law school. Help people create their own path to successful living.</p>","","Social Sciences","http://www.evergreen.edu/studies/psychology"
"queer studies","","cultural studies","Cultural Studies",""
"religious studies","","philosophy","Philosophy",""
"sociology","<p>Sociology is the study of human social institutions and social relationships. You can explore the intricate and complex relationships of social structures in the context of real-life issues: gender, identity, poverty, communication, community, crime and criminal behavior, and more. Opportunities are available to apply quantitative and qualitative skills through research and internships.</p>","","Social Sciences",""
"somatic studies","<p>Somatic studies look at mind-body ways of knowing and living in the world and are guided by the assumption that cultivating body-based intelligence (<em>soma</em> in Greek) can be used to help individuals grow and change. This field of study offers opportunities to explore body-based literacy as it relates to leadership, communication, and engagement with social issues. You'll learn in many ways (academic, experiential, contemplative), using diverse modalities and multiple intelligences, studying somatics through body-centered approaches to mindfulness, movement workshops, creative expression, the arts, and academic work in psychology, health, and more.</p>","","Consciousness Studies",""
"study abroad","<p>Each year, Evergreen students travel to more than 40 countries, and the college typically offers four or five interdisciplinary study abroad programs. These include studies in language, culture, field biology, and social justice. Another option involves student exchanges to partner universities in Japan, South Korea, and Denmark. Many students create their own study abroad opportunities through independent learning contracts and study abroad consortia.  For more information, go to <a href=""https://www.evergreen.edu/studyabroad"">https://www.evergreen.edu/studyabroad</a>.   </p>","","",""
"sustainability studies","<p>“Sustainability isn’t just a bandwagon we’re hopping onto. It’s woven into the very fabric of our identity, and history, as an institution.” — President Les Purce. Evergreen is dedicated to sustainability. This value is reflected in our curriculum as well as our operations. Many programs and courses focus on the concept of sustainability from an interdisciplinary perspective. Areas of study include sustainable development, environmental policies, ethics, ecology, landscape architecture, city and regional planning, economics, natural resources, sociology, and anthropology.</p>","","Sustainability Studies",""
"theater","","performing arts","Performing Arts",""
"visual and media arts","<p>Sculpt as you learn about the chemistry of clay. Draw to study stream ecology. Produce a documentary film. Exhibit pieces to the public.</p>","","","http://www.evergreen.edu/studies/visual-media-arts"
"visual arts","","visual and media arts","Visual Arts",""
"writing","<p>Explore a wide range of genres from fiction, poetry, and screenwriting to creative nonfiction and science. Cultivate your ability to tell compelling stories. Translate human experience into artful literary work. </p>","","Literature, Language, and Communication","http://www.evergreen.edu/studies/writing"
"zoology","","biology and life sciences","Biological Sciences",""
